AOBT,SCLK,LMST,LTST,UTC,PRESSURE,PRESSURE_FREQUENCY,PRESSURE_TEMP,PRESSURE_TEMP_FREQUENCY
599150471.000,599150457.399,00030M01:40:12.796,00030 00:50:39,2018-361T02:41:25.751Z,744.7521,2.0,,
599150471.500,599150457.899,00030M01:40:13.282,00030 00:50:40,2018-361T02:41:26.251Z,744.7699,2.0,,
599150472.000,599150458.399,00030M01:40:13.769,00030 00:50:40,2018-361T02:41:26.751Z,744.7926,2.0,,
599150472.500,599150458.899,00030M01:40:14.255,00030 00:50:41,2018-361T02:41:27.251Z,744.7622,2.0,,
599150473.000,599150459.399,00030M01:40:14.742,00030 00:50:41,2018-361T02:41:27.751Z,744.7714,2.0,,
599150473.500,599150459.899,00030M01:40:15.229,00030 00:50:42,2018-361T02:41:28.251Z,744.7863,2.0,,
599150474.000,599150460.399,00030M01:40:15.715,00030 00:50:42,2018-361T02:41:28.751Z,744.7696,2.0,,
599150474.500,599150460.899,00030M01:40:16.202,00030 00:50:43,2018-361T02:41:29.251Z,744.7820,2.0,281.1741,0.2
599150475.000,599150461.399,00030M01:40:16.689,00030 00:50:43,2018-361T02:41:29.751Z,744.7794,2.0,,
599150475.500,599150461.899,00030M01:40:17.175,00030 00:50:44,2018-361T02:41:30.251Z,744.7519,2.0,,
599150476.000,599150462.399,00030M01:40:17.662,00030 00:50:44,2018-361T02:41:30.751Z,744.7500,2.0,,
599150476.500,599150462.899,00030M01:40:18.148,00030 00:50:45,2018-361T02:41:31.251Z,744.7742,2.0,,
599150477.000,599150463.399,00030M01:40:18.635,00030 00:50:45,2018-361T02:41:31.751Z,744.7733,2.0,,
599150477.500,599150463.899,00030M01:40:19.122,00030 00:50:46,2018-361T02:41:32.251Z,744.7611,2.0,,
599150478.000,599150464.399,00030M01:40:19.608,00030 00:50:46,2018-361T02:41:32.751Z,744.7712,2.0,,
599150478.500,599150464.899,00030M01:40:20.095,00030 00:50:47,2018-361T02:41:33.251Z,744.7769,2.0,,
599150479.000,599150465.399,00030M01:40:20.581,00030 00:50:47,2018-361T02:41:33.751Z,744.7848,2.0,,
599150479.500,599150465.899,00030M01:40:21.068,00030 00:50:48,2018-361T02:41:34.251Z,744.7959,2.0,281.1733,0.2
599150480.000,599150466.399,00030M01:40:21.555,00030 00:50:48,2018-361T02:41:34.751Z,744.7915,2.0,,
599150480.500,599150466.899,00030M01:40:22.041,00030 00:50:49,2018-361T02:41:35.251Z,744.7763,2.0,,
599150481.000,599150467.399,00030M01:40:22.528,00030 00:50:49,2018-361T02:41:35.751Z,744.7737,2.0,,
599150481.500,599150467.899,00030M01:40:23.015,00030 00:50:50,2018-361T02:41:36.251Z,744.7713,2.0,,
599150482.000,599150468.399,00030M01:40:23.501,00030 00:50:50,2018-361T02:41:36.751Z,744.7470,2.0,,
599150482.500,599150468.899,00030M01:40:23.988,00030 00:50:51,2018-361T02:41:37.251Z,744.7561,2.0,,
599150483.000,599150469.399,00030M01:40:24.474,00030 00:50:51,2018-361T02:41:37.751Z,744.7806,2.0,,
599150483.500,599150469.899,00030M01:40:24.961,00030 00:50:52,2018-361T02:41:38.251Z,744.7663,2.0,,
599150484.000,599150470.399,00030M01:40:25.448,00030 00:50:52,2018-361T02:41:38.751Z,744.7583,2.0,,
599150484.500,599150470.899,00030M01:40:25.934,00030 00:50:53,2018-361T02:41:39.251Z,744.7653,2.0,281.1723,0.2
599150485.000,599150471.399,00030M01:40:26.421,00030 00:50:53,2018-361T02:41:39.751Z,744.7825,2.0,,
599150485.500,599150471.899,00030M01:40:26.908,00030 00:50:54,2018-361T02:41:40.251Z,744.7905,2.0,,
599150486.000,599150472.399,00030M01:40:27.394,00030 00:50:54,2018-361T02:41:40.751Z,744.7689,2.0,,
